,base,equity,message,realised_pnl,total_commission,unrealised_pnl
2011-02-16,1000000.0,1208791.9834030608,MTM,-196201.4711099471,6.0,404999.45451300795
2011-02-17,1000000.0,1217389.6365560708,MTM,-196201.4711099471,6.0,413597.10766601807
2011-02-18,1000000.0,1222786.4696412426,MTM,-196201.4711099471,6.0,418993.9407511897
2011-02-22,1000000.0,1165114.5323912813,MTM,-196201.4711099471,6.0,361322.00350122846
2011-02-23,1000000.0,1148296.3812027983,MTM,-196201.4711099471,6.0,344503.85231274564
2011-02-24,1000000.0,1145576.8999175706,MTM,-196201.4711099471,6.0,341784.3710275178
2011-02-25,1000000.0,1174402.397880258,MTM,-196201.4711099471,6.0,370609.86899020517
2011-02-28,1000000.0,1189756.3695576177,MTM,-196201.4711099471,6.0,385963.84066756483
2011-03-01,1000000.0,1146057.9793130828,MTM,-196201.4711099471,6.0,342265.45042303
2011-03-02,1000000.0,1150471.7122826434,MTM,-196201.4711099471,6.0,346679.18339259067
2011-03-03,1000000.0,1197600.7374729593,MTM,-196201.4711099471,6.0,393808.20858290646
2011-03-04,1000000.0,1177059.0635590511,MTM,-196201.4711099471,6.0,373266.5346689984
2011-03-07,1000000.0,1154007.0413003697,MTM,-196201.4711099471,6.0,350214.51241031685
2011-03-08,1000000.0,1178460.4274637396,MTM,-196201.4711099471,6.0,374667.8985736869
2011-03-09,1000000.0,1174695.2856599023,MTM,-196201.4711099471,6.0,370902.75676984945
2011-03-10,1000000.0,1122587.6911734925,MTM,-196201.4711099471,6.0,318795.16228343965
2011-03-11,1000000.0,1141769.8775563915,MTM,-196201.4711099471,6.0,337977.3486663386
2011-03-14,1000000.0,1125265.298176872,MTM,-196201.4711099471,6.0,321472.7692868194
2011-03-15,1000000.0,1094891.8637720407,MTM,-196201.4711099471,6.0,291099.3348819878
2011-03-16,1000000.0,1042617.0169025183,MTM,-196201.4711099471,6.0,238824.48801246533
2011-03-17,1000000.0,1077843.3872987432,MTM,-196201.4711099471,6.0,274050.8584086905
2011-03-18,1000000.0,1089327.5210084892,MTM,-196201.4711099471,6.0,285534.9921184363
2011-03-21,1000000.0,1129428.0218322992,MTM,-196201.4711099471,6.0,325635.4929422463
2011-03-22,1000000.0,1119784.7102525106,MTM,-196201.4711099471,6.0,315992.18136245786
2011-03-23,1000000.0,1127670.9545415316,MTM,-196201.4711099471,6.0,323878.4256514789
2011-03-24,1000000.0,1153023.9411847587,MTM,-196201.4711099471,6.0,349231.4122947059
2011-03-25,1000000.0,1161684.1547407676,MTM,-196201.4711099471,6.0,357891.6258507147
2011-03-28,1000000.0,1154132.417309803,MTM,-196201.4711099471,6.0,350339.88841975015
2011-03-29,1000000.0,1173481.8581676458,MTM,-196201.4711099471,6.0,369689.3292775929
2011-03-30,1000000.0,1191931.9558408987,MTM,-196201.4711099471,6.0,388139.4269508458
2011-03-31,1000000.0,1186848.6924728593,MTM,-196201.4711099471,6.0,383056.1635828066
2011-04-01,1000000.0,1200613.1065378315,MTM,-196201.4711099471,6.0,396820.5776477787
2011-04-04,1000000.0,1201575.2674206872,MTM,-196201.4711099471,6.0,397782.7385306343
2011-04-05,1000000.0,1201073.2487924197,MTM,-196201.4711099471,6.0,397280.7199023668
2011-04-06,1000000.0,1207160.5494169937,MTM,-196201.4711099471,6.0,403368.020526941
2011-04-07,1000000.0,1202914.070922377,MTM,-196201.4711099471,6.0,399121.5420323241
2011-04-08,1000000.0,1191743.7621331995,MTM,-196201.4711099471,6.0,387951.23324314674
2011-04-11,1000000.0,1183982.8938536118,MTM,-196201.4711099471,6.0,380190.36496355897
2011-04-12,1000000.0,1162437.1826831687,MTM,-196201.4711099471,6.0,358644.6537931159
2011-04-13,1000000.0,1162960.1405441915,MTM,-196201.4711099471,6.0,359167.6116541387
2011-04-14,1000000.0,1163190.2127174013,MTM,-196201.4711099471,6.0,359397.6838273484
2011-04-15,1000000.0,1173984.1340911803,MTM,-196201.4711099471,6.0,370191.6052011276
2011-04-18,1000000.0,1143568.8233126695,MTM,-196201.4711099471,6.0,339776.2944226166
2011-04-19,1000000.0,1159215.680677842,MTM,-196201.4711099471,6.0,355423.15178778936
2011-04-20,1000000.0,1196324.7495777041,MTM,-196201.4711099471,6.0,392532.22068765125
2011-04-21,1000000.0,1211009.4481518525,MTM,-196201.4711099471,6.0,407216.91926179954
2011-04-25,1000000.0,1206553.8367167811,MTM,-196201.4711099471,6.0,402761.3078267283
2011-04-26,1000000.0,1231634.8748131192,MTM,-196201.4711099471,6.0,427842.3459230663
2011-04-27,1000000.0,1249248.1876129499,MTM,-196201.4711099471,6.0,445455.65872289694
2011-04-28,1000000.0,1259330.7022145712,MTM,-196201.4711099471,6.0,455538.17332451825
2011-04-29,1000000.0,1265878.1450937334,MTM,-196201.4711099471,6.0,462085.6162036806
2011-05-02,1000000.0,1260878.6386567154,MTM,-196201.4711099471,6.0,457086.10976666247
2011-05-03,1000000.0,1251256.264217851,MTM,-196201.4711099471,6.0,447463.7353277981
2011-05-04,1000000.0,1231802.129288063,MTM,-196201.4711099471,6.0,428009.60039801017
2011-05-05,1000000.0,1206240.0117962128,MTM,-196201.4711099471,6.0,402447.48290615994
2011-05-06,1000000.0,1216908.2998652915,MTM,-196201.4711099471,6.0,413115.77097523864
2011-05-09,1000000.0,1229647.7374409733,MTM,-196201.4711099471,6.0,425855.2085509204
2011-05-10,1000000.0,1252385.9347790864,MTM,-196201.4711099471,6.0,448593.4058890336
2011-05-11,1000000.0,1220840.95343934,MTM,-196201.4711099471,6.0,417048.4245492871
2011-05-12,1000000.0,1234584.4282715567,MTM,-196201.4711099471,6.0,430791.89938150387
2011-05-13,1000000.0,1211825.2937925195,MTM,-196201.4711099471,6.0,408032.7649024667
2011-05-16,1000000.0,1194462.9903068226,MTM,-196201.4711099471,6.0,390670.46141676983
2011-05-17,1000000.0,1193438.0117257012,MTM,-196201.4711099471,6.0,389645.48283564835
2011-05-18,1000000.0,1217912.5944170938,MTM,-196201.4711099471,6.0,414120.06552704086
2011-05-19,1000000.0,1224020.5790709872,MTM,-196201.4711099471,6.0,420228.05018093437
2011-05-20,1000000.0,1202412.0522941095,MTM,-196201.4711099471,6.0,398619.5234040567
2011-05-23,1000000.0,1169151.880037275,MTM,-196201.4711099471,6.0,365359.3511472221
2011-05-24,1000000.0,1166871.8548854846,MTM,-196201.4711099471,6.0,363079.32599543186
2011-05-25,1000000.0,1175636.5073100026,MTM,-196201.4711099471,6.0,371843.9784199498
2011-05-26,1000000.0,1186555.804693215,MTM,-196201.4711099471,6.0,382763.2758031623
2011-05-27,1000000.0,1197872.6860198483,MTM,-196201.4711099471,6.0,394080.15712979547
2011-05-31,1000000.0,1227367.457085747,MTM,-196201.4711099471,6.0,423574.9281956942
2011-06-01,1000000.0,1163253.0283238357,MTM,-196201.4711099471,6.0,359460.499433783
2011-06-02,1000000.0,1159884.9537810534,MTM,-196201.4711099471,6.0,356092.4248910007
2011-06-03,1000000.0,1133151.542465893,MTM,-196201.4711099471,6.0,329359.0135758404
2011-06-06,1000000.0,1103886.841481373,MTM,-196201.4711099471,6.0,300094.3125913202
2011-06-07,1000000.0,1101313.6733465025,MTM,-196201.4711099471,6.0,297521.1444564496
2011-06-08,1000000.0,1090059.8670134023,MTM,-196201.4711099471,6.0,286267.3381233495
2011-06-09,1000000.0,1109804.6324275674,MTM,109812.63242756747,8.0,-0.0
2011-06-10,1000000.0,1140657.945901705,MTM,109812.63242756747,8.0,30853.31347413754
2011-06-13,1000000.0,1139202.643633811,MTM,109812.63242756747,8.0,29398.011206243682
2011-06-14,1000000.0,1111739.3915728037,MTM,109812.63242756747,8.0,1934.7591452363756
2011-06-15,1000000.0,1150177.4940655886,MTM,109812.63242756747,8.0,40372.86163802117
2011-06-16,1000000.0,1146376.5292960438,MTM,109812.63242756747,8.0,36571.89686847627
2011-06-17,1000000.0,1139767.5839557794,MTM,109812.63242756747,8.0,29962.9515282119
2011-06-20,1000000.0,1128022.13263925,MTM,109812.63242756747,8.0,18217.50021168263
2011-06-21,1000000.0,1098641.258529112,MTM,109812.63242756747,8.0,-11163.373898455433
2011-06-22,1000000.0,1112989.240450322,MTM,109812.63242756747,8.0,3184.608022754443
2011-06-23,1000000.0,1119221.5600507197,MTM,109812.63242756747,8.0,9416.92762315231
2011-06-24,1000000.0,1144989.7822612461,MTM,109812.63242756747,8.0,35185.149833678726
2011-06-27,1000000.0,1125042.9745825345,MTM,109812.63242756747,8.0,15238.342154967057
2011-06-28,1000000.0,1096672.2234794958,MTM,109812.63242756747,8.0,-13132.408948071507
2011-06-29,1000000.0,1078283.5492061542,MTM,109812.63242756747,8.0,-31521.083221413308
2011-06-30,1000000.0,1055631.5903820305,MTM,109812.63242756747,8.0,-54173.04204553691
2011-07-01,1000000.0,1023048.9711530325,MTM,109812.63242756747,8.0,-86755.66127453503
2011-07-05,1000000.0,1026113.8198267815,MTM,109812.63242756747,8.0,-83690.81260078598
2011-07-06,1000000.0,1023819.5720377843,MTM,109812.63242756747,8.0,-85985.06038978325
2011-07-07,1000000.0,999849.2108152147,MTM,109812.63242756747,8.0,-109955.42161235277
2011-07-08,1000000.0,1015977.7060315312,MTM,109812.63242756747,8.0,-93826.9263960363
2011-07-11,1000000.0,1057600.6271438152,MTM,109812.63242756747,8.0,-52204.005283752376
2011-07-12,1000000.0,1067616.7709933154,MTM,109812.63242756747,8.0,-42187.86143425215
2011-07-13,1000000.0,1060631.198201016,MTM,109812.63242756747,8.0,-49173.434226551486
2011-07-14,1000000.0,1075783.8497389494,MTM,109812.63242756747,8.0,-34020.7826886179
2011-07-15,1000000.0,1063336.349346428,MTM,109812.63242756747,8.0,-46468.28308113956
2011-07-18,1000000.0,1081656.6806955866,MTM,109812.63242756747,8.0,-28147.951731980924
